cluster_id,evidence_id,disease_id,source_file
imcluster_7cb8eb52594960af,imev_927a379646c99e28,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_48cf0175de014061,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_19877bb9effdedf1,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_34503fb489bf6bc0,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_0ca9fafe44a1c573,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_b5eb1d590e25ddc4,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_f07a950512098d2d,BRCA,BRCA_drug_linkage.csv
imcluster_7cb8eb52594960af,imev_efe71dae8be941ff,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_bc04a47d3c7c46af,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_a217b43b5bfddda0,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_5f6df7709575e8bb,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_61bfd5df207795e3,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_9d86c4c6a2d447a1,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_8eada2ac10833e22,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_b41c87eff0240d13,BRCA,BRCA_drug_linkage.csv
imcluster_f4abf244974b1646,imev_9c580004ccc71083,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_b701d70d95cd41d1,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_92ae2d828b7eec9d,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_74a27b6da862ac86,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_ba70a84083de122c,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_ba2c618df177429b,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_56c1988c6356b83f,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_5874a5510950845b,BRCA,BRCA_drug_linkage.csv
imcluster_c8239e0289f45dff,imev_380dbd79c03b15f5,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_050c2c69cb367597,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_da76f12c68a868ef,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_1527b6b8e28af700,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_39e1842bfa3101d1,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_6ab2727ebf7b06ef,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_d0c1e6d6703c6820,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_08387e6c2b0cffbd,BRCA,BRCA_drug_linkage.csv
imcluster_a23ed182f842b36b,imev_2c1681b23b4ffec3,BRCA,BRCA_drug_linkage.csv
imcluster_51dd70c5fbc6ec1a,imev_24a56cefe10450d5,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_de0792b63b8cb5cd,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_38acf875e39fb39e,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_310ff2beb4e8104c,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_7f6c98af0fa196cc,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_32f6492cd929918d,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_2201397b36ec4b2b,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_356033c99a7bce52,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_17b2909c5d9ae248,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_6ceebb12905812b4,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_b863e52beca8a55c,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_49648c88e28869c5,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_23bfa059bbb87ada,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_ae934e3183df64da,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_2fc027ab590a9c07,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_8ab43b37081d8513,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_007f9f3bc34228b6,Colon,Colon_drug_linkage.md
imcluster_51dd70c5fbc6ec1a,imev_11e2e0772cb5f30b,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_f231b8c2bb75acb3,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_ee1ef03d546cb322,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_effd1f61dd0bdb8d,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_c694208b29043c01,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_61f8834d960ff829,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_8c4ba0c6b7898360,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_58224d4a68e82c1e,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_89bd6e11aabe15e1,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_e6321c02753feb29,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_1074396e456bab7c,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_e5c89dc7db5a5cb2,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_87595fc7e0a5cfee,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_8bc198a0c2fb3493,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_ac560f8eafad5f97,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_5a575a609891d060,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_0024bfa5010de968,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_c80adb8b0a6613e8,Colon,Colon_drug_linkage.md
imcluster_5ec220e124a50080,imev_ebd322906d1b5216,Colon,Colon_drug_linkage.md
imcluster_fca36e499f1d09d1,imev_54d1da53bda80672,Colon,Colon_drug_linkage.md
imcluster_fca36e499f1d09d1,imev_f6545bd62cc43f70,Colon,Colon_drug_linkage.md
imcluster_fca36e499f1d09d1,imev_bac95bf5dbc6e2a5,Colon,Colon_drug_linkage.md
imcluster_fca36e499f1d09d1,imev_7c2de292b3f5428b,Colon,Colon_drug_linkage.md
imcluster_93baab94defd2986,imev_4267274dcd0c4b83,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_f71ba6b583e13383,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_0c8c4c28d9a14df2,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_22faa75af63725e9,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_67cb5dc347c64d7c,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_6e14d6553e264bdc,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_00498af7287ffc9c,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_3b74c7110d3c51e3,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_827dcc6794ba282b,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_3877ff363303fbdd,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_98ad9d4de4dc3cb8,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_f2b8fc4ae7bd9b1e,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_fe1cc61e9f3bb190,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_832526b784e64e15,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_01798136c5b9fd57,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_f03352bb0df56b75,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_9cef288b5e49d908,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_188579b87c63d5fb,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_3a9590c06c468fee,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_e5b91bc920aa7944,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_b04d78df7dfd65e1,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_8d105801524bbd92,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_1d831b8b094eefdc,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_6a841b84b5e426a4,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_dc49ccadb43fa9e4,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_626256235633a0cf,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_8a9173f4d44377a8,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_a7e77faa108c1b25,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_a86daffaa6b19ee8,HNSC,HNSC_drug_linkage.csv
imcluster_93baab94defd2986,imev_505714cf62311855,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_a438114fc7e20c53,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_251fa0970a78b35c,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_cfdbfee0f0f0d3c3,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_086b7f82cfc23929,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_1b31f8e746afc17e,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_579b60234e36aad2,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_5c36301b0590b8f0,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_1907562418e82ae0,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_2d10136ad1a01826,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_6655160d077f1d68,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_147b907572a959b3,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_8f36c7bbcf5a9328,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_c60a98851fc5e677,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_51b667a77df0b450,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_361f8ae6acd1504c,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_41bc10aad582beaa,HNSC,HNSC_drug_linkage.csv
imcluster_6893ea6ac1e4cef6,imev_3bf8a622420d680f,HNSC,HNSC_drug_linkage.csv
