evidence_id,disease_id,cluster_id,drug_name,rank,tier,target,target_pathway,evidence_text,source_file,match_status,canonical_drug_id
imev_927a379646c99e28,BRCA,imcluster_7cb8eb52594960af,Temozolomide,5,,DNA alkylating agent,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,matched,cdrug_625e359eee8fc99b
imev_48cf0175de014061,BRCA,imcluster_7cb8eb52594960af,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,evidence_only,cdrug_859d8ffb5445e2e7
imev_19877bb9effdedf1,BRCA,imcluster_7cb8eb52594960af,Oxaliplatin,9,,DNA alkylating agent,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,matched,cdrug_c44992701a33be56
imev_34503fb489bf6bc0,BRCA,imcluster_7cb8eb52594960af,Fludarabine,10,,Antimetabolite,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,matched,cdrug_bd7982d23450b140
imev_0ca9fafe44a1c573,BRCA,imcluster_7cb8eb52594960af,THR-101,14,,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,evidence_only,cdrug_cbcd649f573196df
imev_b5eb1d590e25ddc4,BRCA,imcluster_7cb8eb52594960af,Nelarabine,18,,,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,matched,cdrug_7213242416f41e1a
imev_f07a950512098d2d,BRCA,imcluster_7cb8eb52594960af,Veliparib,19,,"PARP1, PARP2",Genome integrity,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,evidence_only,cdrug_6f8eb0b04f84047d
imev_efe71dae8be941ff,BRCA,imcluster_7cb8eb52594960af,MIRA-1,20,,TP53,p53 pathway,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%,BRCA_drug_linkage.csv,evidence_only,cdrug_d8014f6e4666f0f3
imev_bc04a47d3c7c46af,BRCA,imcluster_f4abf244974b1646,Temozolomide,5,,DNA alkylating agent,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,matched,cdrug_625e359eee8fc99b
imev_a217b43b5bfddda0,BRCA,imcluster_f4abf244974b1646,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,evidence_only,cdrug_859d8ffb5445e2e7
