evidence_id,canonical_drug_id,match_status,drug_name,rank,tier
imev_927a379646c99e28,cdrug_625e359eee8fc99b,matched,Temozolomide,5,
imev_48cf0175de014061,cdrug_859d8ffb5445e2e7,evidence_only,CZC24832,7,
imev_19877bb9effdedf1,cdrug_c44992701a33be56,matched,Oxaliplatin,9,
imev_34503fb489bf6bc0,cdrug_bd7982d23450b140,matched,Fludarabine,10,
imev_0ca9fafe44a1c573,cdrug_cbcd649f573196df,evidence_only,THR-101,14,
imev_b5eb1d590e25ddc4,cdrug_7213242416f41e1a,matched,Nelarabine,18,
imev_f07a950512098d2d,cdrug_6f8eb0b04f84047d,evidence_only,Veliparib,19,
imev_efe71dae8be941ff,cdrug_d8014f6e4666f0f3,evidence_only,MIRA-1,20,
imev_bc04a47d3c7c46af,cdrug_625e359eee8fc99b,matched,Temozolomide,5,
imev_a217b43b5bfddda0,cdrug_859d8ffb5445e2e7,evidence_only,CZC24832,7,
imev_5f6df7709575e8bb,cdrug_c44992701a33be56,matched,Oxaliplatin,9,
imev_61bfd5df207795e3,cdrug_bd7982d23450b140,matched,Fludarabine,10,
imev_9d86c4c6a2d447a1,cdrug_cbcd649f573196df,evidence_only,THR-101,14,
imev_8eada2ac10833e22,cdrug_7213242416f41e1a,matched,Nelarabine,18,
imev_b41c87eff0240d13,cdrug_6f8eb0b04f84047d,evidence_only,Veliparib,19,
imev_9c580004ccc71083,cdrug_d8014f6e4666f0f3,evidence_only,MIRA-1,20,
imev_b701d70d95cd41d1,cdrug_625e359eee8fc99b,matched,Temozolomide,5,
imev_92ae2d828b7eec9d,cdrug_859d8ffb5445e2e7,evidence_only,CZC24832,7,
imev_74a27b6da862ac86,cdrug_c44992701a33be56,matched,Oxaliplatin,9,
imev_ba70a84083de122c,cdrug_bd7982d23450b140,matched,Fludarabine,10,
imev_ba2c618df177429b,cdrug_cbcd649f573196df,evidence_only,THR-101,14,
imev_56c1988c6356b83f,cdrug_7213242416f41e1a,matched,Nelarabine,18,
imev_5874a5510950845b,cdrug_6f8eb0b04f84047d,evidence_only,Veliparib,19,
imev_380dbd79c03b15f5,cdrug_d8014f6e4666f0f3,evidence_only,MIRA-1,20,
imev_050c2c69cb367597,cdrug_625e359eee8fc99b,matched,Temozolomide,5,
imev_da76f12c68a868ef,cdrug_859d8ffb5445e2e7,evidence_only,CZC24832,7,
imev_1527b6b8e28af700,cdrug_c44992701a33be56,matched,Oxaliplatin,9,
